Kelime,Türkçe Anlamý,V1 (Yalýn Hali),V2 (Geçmiþ Zaman),V3 (Sýfat Fiil)
seem,gibi görünmek,seem,seemed,seemed
select,seçmek,select,selected,selected
"selection,""seçki, seçim"",-,-,-"
"self,""kendilik, benlik"",-,-,-"
sell,satmak,sell,sold,sold
send,göndermek,send,sent,sent
senior,kýdemli,-,-,-
"sense,""duyu, anlam"",sense,sensed,sensed"
sensible,mantýklý,-,-,-
sensitive,hassas,-,-,-
"sentence,""cümle, hüküm giydirmek"",sentence,sentenced,sentenced"
"separate,""ayrý, ayýrmak"",separate,separated,separated"
September,Eylül,-,-,-
"sequence,""dizi, sýralama"",-,-,-"
series,seri,-,-,-
serious,ciddi,-,-,-
seriously,ciddi olarak,-,-,-
servant,hizmetçi,-,-,-
serve,hizmet etmek,serve,served,served
service,hizmet,-,-,-
session,oturum,-,-,-
"set (group),""takým, set"",-,-,-"
"set (put),""koymak, ayarlamak"",set,set,set"
"setting,""ortam, ayar"",-,-,-"
"settle,""yerleþmek, çözmek"",settle,settled,settled"
seven,yedi,-,-,-
seventeen,on yedi,-,-,-
seventy,yetmiþ,-,-,-
several,birkaç,-,-,-
severe,þiddetli,-,-,-
sex,cinsiyet,-,-,-
sexual,cinsel,-,-,-
shade,gölge,-,-,-
shadow,gölge (nesne),-,-,-
shake,sallamak,shake,shook,shaken
shallow,sýð,-,-,-
shame,utanç,-,-,-
"shape,""þekil, þekillendirmek"",shape,shaped,shaped"
"share,""paylaþmak, hisse"",share,shared,shared"
sharp,keskin,-,-,-
she,o (kadýn),-,-,-
sheep,koyun,-,-,-
"sheet,""çarþaf, kaðýt yapraðý"",-,-,-"
shelf,raf,-,-,-
shell,kabuk,-,-,-
"shelter,""barýnak, sýðýnmak"",shelter,sheltered,sheltered"
"shift,""vardiya, deðiþtirmek"",shift,shifted,shifted"
shine,parlamak,shine,shone,shone
shiny,parlak,-,-,-
ship,gemi,ship,shipped,shipped
shirt,gömlek,-,-,-
"shock,""þok, þok etmek"",shock,shocked,shocked"
shocked,þok olmuþ,-,-,-
shoe,ayakkabý,-,-,-
"shoot,""ateþ etmek, çekim yapmak"",shoot,shot,shot"
"shooting,""ateþ etme, çekim"",-,-,-"
"shop,""dükkan, alýþveriþ yapmak"",shop,shopped,shopped"
shopping,alýþveriþ,-,-,-
short,kýsa,-,-,-
"shot,""atýþ, çekim"",-,-,-"
should,-meli,-,-,-
shoulder,omuz,-,-,-
shout,baðýrmak,shout,shouted,shouted
show,göstermek,show,showed,shown
shower,duþ,-,-,-
shut,kapatmak,shut,shut,shut
shy,utangaç,-,-,-
sick,hasta,-,-,-
"side,""taraf, yan"",-,-,-"
"sight,""görüþ, manzara"",-,-,-"
"sign,""iþaret, imzalamak"",sign,signed,signed"
"signal,""sinyal, iþaret vermek"",signal,signalled,signalled"
significant,önemli,-,-,-
significantly,önemli ölçüde,-,-,-
silence,sessizlik,-,-,-
silent,sessiz,-,-,-
silk,ipek,-,-,-
silly,aptalca,-,-,-
silver,gümüþ,-,-,-
similar,benzer,-,-,-
similarity,benzerlik,-,-,-
similarly,benzer þekilde,-,-,-
simple,basit,-,-,-
simply,basitçe,-,-,-
since,-den beri,-,-,-
sincere,samimi,-,-,-
sing,þarký söylemek,sing,sang,sung
singer,þarkýcý,-,-,-
singing,þarký söyleme,-,-,-
"single,""tek, bekar"",-,-,-"
"sink,""batmak, lavabo"",sink,sank,sunk"
"sir,""efendim, bay"",-,-,-"
sister,kýz kardeþ,-,-,-
sit,oturmak,sit,sat,sat
"site,""alan, site"",-,-,-"
situation,durum,-,-,-
six,altý,-,-,-
sixteen,on altý,-,-,-
sixty,altmýþ,-,-,-
size,boyut,-,-,-
ski,kayak yapmak,ski,skied,skied
skiing,kayak (spor),-,-,-
skill,beceri,-,-,-
"skin,""deri, cilt"",-,-,-"
skirt,etek,-,-,-
sky,gökyüzü,-,-,-
slave,köle,-,-,-
sleep,uyumak,sleep,slept,slept
"slice,""dilim, dilimlemek"",slice,sliced,sliced"
"slide,""kaymak, kaydýrak"",slide,slid,slid"
"slight,""hafif, önemsiz"",-,-,-"
slightly,hafifçe,-,-,-
slip,kaymak (ayak),slip,slipped,slipped
"slope,""eðim, yamaç"",slope,sloped,sloped"
"slow,""yavaþ, yavaþlatmak"",slow,slowed,slowed"
slowly,yavaþça,-,-,-
small,küçük,-,-,-
"smart,""akýllý, þýk"",-,-,-"
smartphone,akýllý telefon,-,-,-
"smell,""koku, koklamak"",smell,smelled/smelt,smelled/smelt"
smile,gülümsemek,smile,smiled,smiled
"smoke,""duman, sigara içmek"",smoke,smoked,smoked"
smoking,sigara içme,-,-,-
smooth,pürüzsüz,-,-,-
snake,yýlan,-,-,-
"snow,""kar, kar yaðmak"",snow,snowed,snowed"
"so,""bu yüzden, çok"",-,-,-"
soap,sabun,-,-,-
soccer,futbol,-,-,-
social,sosyal,-,-,-
society,toplum,-,-,-
sock,çorap,-,-,-
soft,yumuþak,-,-,-
software,yazýlým,-,-,-
soil,toprak,-,-,-
solar,güneþ ile ilgili,-,-,-
soldier,asker,-,-,-
"solid,""katý, saðlam"",-,-,-"
solution,çözüm,-,-,-
solve,çözmek,solve,solved,solved
some,bazý,-,-,-
somebody,birisi,-,-,-
someone,birisi,-,-,-
something,bir þey,-,-,-
sometimes,bazen,-,-,-
somewhat,biraz,-,-,-
somewhere,bir yerde,-,-,-
son,erkek evlat,-,-,-
song,þarký,-,-,-
soon,yakýnda,-,-,-
"sorry,""üzgün, özür dilerim"",-,-,-"
"sort,""tür, sýnýflandýrmak"",sort,sorted,sorted"
soul,ruh,-,-,-
"sound,""ses, kulaða gelmek"",sound,sounded,sounded"
soup,çorba,-,-,-
source,kaynak,-,-,-
south,güney,-,-,-
southern,güney (sýfat),-,-,-
"space,""uzay, boþluk"",-,-,-"
speak,konuþmak,speak,spoke,spoken
speaker,konuþmacý,-,-,-
special,özel,-,-,-
specialist,uzman,-,-,-
species,tür (biyolojik),-,-,-
"specific,""belirli, özgül"",-,-,-"
"specifically,""özellikle, açýkça"",-,-,-"
speech,konuþma (nutuk),-,-,-
"speed,""hýz, hýzlanmak"",speed,sped,sped"
spell,hecelemek,spell,spelled/spelt,spelled/spelt
"spelling,""heceleme, yazým"",-,-,-"
spend,harcamak,spend,spent,spent
spending,harcama,-,-,-
spicy,baharatlý,-,-,-
spider,örümcek,-,-,-
"spirit,""ruh, tin"",-,-,-"
spiritual,manevi,-,-,-
"split,""bölmek, ayýrmak"",split,split,split"
spoken,sözlü,-,-,-
"sponsor,""sponsor, sponsor olmak"",sponsor,sponsored,sponsored"
spoon,kaþýk,-,-,-
sport,spor,-,-,-
"spot,""nokta, leke, fark etmek"",spot,spotted,spotted"
spread,yaymak,spread,spread,spread
"spring,""bahar, yay, fýrlamak"",spring,sprang,sprung"
"square,""kare, meydan"",-,-,-"
"stable,""kararlý, ahýr"",-,-,-"
stadium,stadyum,-,-,-
staff,personel,-,-,-
"stage,""sahne, aþama"",stage,staged,staged"
stair,merdiven basamaðý,-,-,-
"stamp,""pul, damga"",-,-,-"
stand,ayakta durmak,stand,stood,stood
standard,standart,-,-,-
"star,""yýldýz, baþrol oynamak"",star,starred,starred"
stare,dik dik bakmak,stare,stared,stared
start,baþlamak,start,started,started
"state,""eyalet, devlet, belirtmek"",state,stated,stated"
"statement,""ifade, açýklama"",-,-,-"
station,istasyon,-,-,-
statistic,istatistik,-,-,-
statue,heykel,-,-,-
"status,""statü, durum"",-,-,-"
stay,kalmak,stay,stayed,stayed
"steady,""sabit, istikrarlý"",-,-,-"
steal,çalmak (hýrsýzlýk),steal,stole,stolen
steel,çelik,-,-,-
steep,dik (eðim),-,-,-
"step,""adým, adým atmak"",step,stepped,stepped"
"stick (attach),""yapýþtýrmak, sokmak"",stick,stuck,stuck"
stick (wood),deðnek,-,-,-
sticky,yapýþkan,-,-,-
"stiff,""katý, sert (kas)"",-,-,-"
"still,""hala, durgun"",-,-,-"
"stock,""stok, hisse senedi"",stock,stocked,stocked"
stomach,mide,-,-,-
stone,taþ,-,-,-
"stop,""durmak, durdurmak"",stop,stopped,stopped"
"store,""maðaza, depolamak"",store,stored,stored"
storm,fýrtýna,-,-,-
story,hikaye,-,-,-
straight,düz,-,-,-
strange,garip,-,-,-
stranger,yabancý (kiþi),-,-,-
strategy,strateji,-,-,-
"stream,""dere, akýþ"",-,-,-"
street,sokak,-,-,-
"strength,""güç, kuvvet"",-,-,-"
"stress,""stres, vurgulamak"",stress,stressed,stressed"
"stretch,""germek, uzanmak"",stretch,stretched,stretched"
"strict,""katý, sýký"",-,-,-"
"strike,""grev, vurmak"",strike,struck,struck"
"string,""ip, sicim"",-,-,-"
strong,güçlü,-,-,-
strongly,güçlü bir þekilde,-,-,-
structure,yapý,structure,structured,structured
struggle,mücadele etmek,struggle,struggled,struggled
student,öðrenci,-,-,-
studio,stüdyo,-,-,-
"study,""çalýþmak, ders çalýþmak"",study,studied,studied"
"stuff,""eþya, þeyler"",stuff,stuffed,stuffed"
stupid,aptal,-,-,-
style,stil,-,-,-
"subject,""konu, ders"",-,-,-"
"submit,""sunmak, teslim etmek"",submit,submitted,submitted"
substance,madde,-,-,-
succeed,baþarmak,succeed,succeeded,succeeded
success,baþarý,-,-,-
successful,baþarýlý,-,-,-
successfully,baþarýlý bir þekilde,-,-,-
"such,""böyle, öyle"",-,-,-"
sudden,ani,-,-,-
suddenly,aniden,-,-,-
suffer,acý çekmek,suffer,suffered,suffered
sugar,þeker,-,-,-
suggest,önermek,suggest,suggested,suggested
suggestion,öneri,-,-,-
"suit,""takým elbise, uymak"",suit,suited,suited"
suitable,uygun,-,-,-
sum,toplam,sum,summed,summed
summarize,özetlemek,summarize,summarized,summarized
summary,özet,-,-,-
summer,yaz,-,-,-
sun,güneþ,-,-,-
Sunday,Pazar,-,-,-
supermarket,süpermarket,-,-,-
"supply,""tedarik, tedarik etmek"",supply,supplied,supplied"
"support,""destek, desteklemek"",support,supported,supported"
"supporter,""destekçi, taraftar"",-,-,-"
"suppose,""varsaymak, sanmak"",suppose,supposed,supposed"
sure,emin,-,-,-
surely,kesinlikle,-,-,-
surface,yüzey,-,-,-
surgery,ameliyat,-,-,-
"surprise,""sürpriz, þaþýrtmak"",surprise,surprised,surprised"
surprised,þaþýrmýþ,-,-,-
surprising,þaþýrtýcý,-,-,-
surround,çevrelemek,surround,surrounded,surrounded
surrounding,çevreleyen,-,-,-
"survey,""anket, incelemek"",survey,surveyed,surveyed"
survive,hayatta kalmak,survive,survived,survived
"suspect,""þüphelenmek, þüpheli"",suspect,suspected,suspected"
"swear,""yemin etmek, küfretmek"",swear,swore,sworn"
sweater,kazak,-,-,-
sweep,süpürmek,sweep,swept,swept
sweet,tatlý,-,-,-
swim,yüzmek,swim,swam,swum
swimming,yüzme,-,-,-
"switch,""anahtar (elektrik), deðiþtirmek"",switch,switched,switched"
symbol,sembol,-,-,-
"sympathy,""sempati, üzüntü paylaþma"",-,-,-"
symptom,belirti,-,-,-
system,sistem,-,-,-
T-shirt,tiþört,-,-,-
table,masa,-,-,-
"tablet,""tablet, hap"",-,-,-"
tail,kuyruk,-,-,-
take,almak,take,took,taken
"tale,""masal, hikaye"",-,-,-"
talent,yetenek,-,-,-
talented,yetenekli,-,-,-
talk,konuþmak,talk,talked,talked
tall,uzun boylu,-,-,-
"tank,""tank, depo"",-,-,-"
"tape,""bant, kayýt yapmak"",tape,taped,taped"
"target,""hedef, hedeflemek"",target,targeted,targeted"
task,görev,-,-,-
"taste,""tat, tatmak"",taste,tasted,tasted"
"tax,""vergi, vergilendirmek"",tax,taxed,taxed"
taxi,taksi,-,-,-
tea,çay,-,-,-
teach,öðretmek,teach,taught,taught
teacher,öðretmen,-,-,-
teaching,öðretme,-,-,-
team,takým,-,-,-
tear1,yýrtmak,tear,tore,torn
tear2,gözyaþý,-,-,-
technical,teknik,-,-,-
technique,teknik (yöntem),-,-,-
technology,teknoloji,-,-,-
teenage,genç (ergen),-,-,-
"teenager,""genç, ergen"",-,-,-"
"telephone,""telefon, telefon etmek"",telephone,telephoned,telephoned"
television,televizyon,-,-,-
"tell,""söylemek, anlatmak"",tell,told,told"
temperature,sýcaklýk,-,-,-
temporary,geçici,-,-,-
ten,on,-,-,-
tend,eðiliminde olmak,tend,tended,tended
tennis,tenis,-,-,-
tent,çadýr,-,-,-
"term,""dönem, terim"",term,termed,termed"
"terrible,""korkunç, berbat"",-,-,-"
"test,""test, sýnamak"",test,tested,tested"
"text,""metin, mesaj atmak"",text,texted,texted"
than,-den,-,-,-
thank,teþekkür etmek,thank,thanked,thanked
thanks,teþekkürler,-,-,-
"that,""o, þu"",-,-,-"
the,belirli taným edatý,-,-,-
theatre,tiyatro,-,-,-
their,onlarýn,-,-,-
theirs,onlarýnki,-,-,-
them,onlarý,-,-,-
theme,tema,-,-,-
themselves,kendileri,-,-,-
"then,""sonra, o zaman"",-,-,-"
theory,teori,-,-,-
therapy,terapi,-,-,-
there,orada,-,-,-
therefore,bu nedenle,-,-,-
they,onlar,-,-,-
thick,kalýn,-,-,-
thief,hýrsýz,-,-,-
"thin,""ince, zayýf"",-,-,-"
thing,þey,-,-,-
think,düþünmek,think,thought,thought
thinking,düþünme,-,-,-
third,üçüncü,-,-,-
thirsty,susamýþ,-,-,-
thirteen,on üç,-,-,-
thirty,otuz,-,-,-
this,bu,-,-,-
"though,""-e raðmen, ama"",-,-,-"
thought,düþünce,-,-,-
thousand,bin,-,-,-
threat,tehdit,-,-,-
threaten,tehdit etmek,threaten,threatened,threatened
three,üç,-,-,-
throat,boðaz,-,-,-
"through,""-den geçerek, boyunca"",-,-,-"
"throughout,""boyunca, her yerinde"",-,-,-"
throw,atmak,throw,threw,thrown
Thursday,Perþembe,-,-,-
thus,böylece,-,-,-
ticket,bilet,-,-,-
"tidy,""düzenli, düzenlemek"",tidy,tidied,tidied"
"tie,""baðlamak, kravat"",tie,tied,tied"
"tight,""sýký, dar"",-,-,-"
till,-e kadar,-,-,-
"time,""zaman, zamanlamak"",time,timed,timed"
tin,teneke,-,-,-
tiny,minik,-,-,-
"tip,""bahþiþ, uç, ipucu"",tip,tipped,tipped"
tired,yorgun,-,-,-
"title,""baþlýk, unvan"",title,titled,titled"
"to,""-e, -a"",-,-,-"
today,bugün,-,-,-
toe,ayak parmaðý,-,-,-
together,birlikte,-,-,-
toilet,tuvalet,-,-,-
tomato,domates,-,-,-
tomorrow,yarýn,-,-,-
tone,ton (ses/renk),-,-,-
tongue,dil (organ),-,-,-
tonight,bu gece,-,-,-
"too,""de, da, çok fazla"",-,-,-"
tool,alet,-,-,-
tooth,diþ,-,-,-
"top,""üst, tepe"",-,-,-"
topic,konu,-,-,-
total,toplam,-,-,-
totally,tamamen,-,-,-
touch,dokunmak,touch,touched,touched
"tough,""zorlu, sert"",-,-,-"
"tour,""tur, gezi"",tour,toured,toured"
tourism,turizm,-,-,-
tourist,turist,-,-,-
towards,-e doðru,-,-,-
towel,havlu,-,-,-
tower,kule,-,-,-
"town,""kasaba, þehir"",-,-,-"
toy,oyuncak,-,-,-
"track,""iz, parça (müzik)"",track,tracked,tracked"
"trade,""ticaret, ticaret yapmak"",trade,traded,traded"
tradition,gelenek,-,-,-
traditional,geleneksel,-,-,-
traffic,trafik,-,-,-
"train,""tren, eðitmek"",train,trained,trained"
"trainer,""antrenör, eðitmen"",-,-,-"
"training,""eðitim, antrenman"",-,-,-"
"transfer,""transfer etmek, aktarmak"",transfer,transferred,transferred"
transform,dönüþtürmek,transform,transformed,transformed
transition,geçiþ,-,-,-
translate,çevirmek,translate,translated,translated
translation,çeviri,-,-,-
"transport,""ulaþým, taþýmak"",transport,transported,transported"
travel,seyahat etmek,travel,travelled,travelled
traveller,gezgin,-,-,-
"treat,""davranmak, tedavi etmek"",treat,treated,treated"
treatment,tedavi,-,-,-
tree,aðaç,-,-,-
"trend,""eðilim, trend"",-,-,-"
"trial,""deneme, dava"",-,-,-"
"trick,""numara, hile yapmak"",trick,tricked,tricked"
"trip,""gezi, seyahat"",trip,tripped,tripped"
tropical,tropikal,-,-,-
"trouble,""sorun, dert"",trouble,troubled,troubled"
trousers,pantolon,-,-,-
truck,kamyon,-,-,-
"true,""doðru, gerçek"",-,-,-"
truly,gerçekten,-,-,-
"trust,""güven, güvenmek"",trust,trusted,trusted"
truth,gerçek,-,-,-
try,denemek,try,tried,tried
tube,tüp,-,-,-
Tuesday,Salý,-,-,-
tune,melodi,-,-,-
tunnel,tünel,-,-,-
"turn,""dönmek, döndürmek"",turn,turned,turned"
TV,televizyon,-,-,-
twelve,on iki,-,-,-
twenty,yirmi,-,-,-
twice,iki kez,-,-,-
twin,ikiz,-,-,-
two,iki,-,-,-
"type,""tür, yazmak (klavye)"",type,typed,typed"
typical,tipik,-,-,-
typically,tipik olarak,-,-,-
tyre,lastik (araba),-,-,-
ugly,çirkin,-,-,-
ultimately,nihayetinde,-,-,-
umbrella,þemsiye,-,-,-
unable,yapamayan,-,-,-
"uncle,""amca, dayý"",-,-,-"
uncomfortable,rahatsýz,-,-,-
unconscious,bilinçsiz,-,-,-
under,altýnda,-,-,-
underground,yeraltý,-,-,-
understand,anlamak,understand,understood,understood
understanding,anlayýþ,-,-,-
underwear,iç çamaþýrý,-,-,-
unemployed,iþsiz,-,-,-
unemployment,iþsizlik,-,-,-
unexpected,beklenmedik,-,-,-
unfair,adaletsiz,-,-,-
unfortunately,maalesef,-,-,-
unhappy,mutsuz,-,-,-
uniform,üniforma,-,-,-
"union,""sendika, birlik"",-,-,-"
unique,eþsiz,-,-,-
unit,birim,-,-,-
united,birleþik,-,-,-
universe,evren,-,-,-
university,üniversite,-,-,-
unknown,bilinmeyen,-,-,-
unless,-mediði sürece,-,-,-
unlike,-den farklý,-,-,-
unlikely,olasý olmayan,-,-,-
unnecessary,gereksiz,-,-,-
unpleasant,nahoþ,-,-,-
until,-e kadar,-,-,-
unusual,olaðandýþý,-,-,-
up,yukarý,-,-,-
"update,""güncellemek, güncelleme"",update,updated,updated"
upon,üzerine,-,-,-
upper,üst (kýsým),-,-,-
"upset,""üzgün, üzmek"",upset,upset,upset"
upstairs,üst kat,-,-,-
upwards,yukarý doðru,-,-,-
urban,kentsel,-,-,-
"urge,""ýsrar etmek, teþvik etmek"",urge,urged,urged"
"us,""bizi, bize"",-,-,-"
use,kullanmak,use,used,used
used to,eskiden ... -irdi,-,-,-
used1,kullanýlmýþ,-,-,-
used2,alýþkýn,-,-,-
useful,faydalý,-,-,-
user,kullanýcý,-,-,-
"usual,""olaðan, her zamanki"",-,-,-"
usually,genellikle,-,-,-
vacation,tatil,-,-,-
valley,vadi,-,-,-
valuable,deðerli,-,-,-
"value,""deðer, deðer vermek"",value,valued,valued"
van,kamyonet,-,-,-
variety,çeþitlilik,-,-,-
various,çeþitli,-,-,-
vary,çeþitlilik göstermek,vary,varied,varied
vast,çok geniþ,-,-,-
vegetable,sebze,-,-,-
vehicle,araç,-,-,-
venue,mekan (etkinlik),-,-,-
version,versiyon,-,-,-
very,çok,-,-,-
via,üzerinden,-,-,-
victim,kurban,-,-,-
victory,zafer,-,-,-
video,video,-,-,-
"view,""görünüm, görüþ"",view,viewed,viewed"
viewer,izleyici,-,-,-
village,köy,-,-,-
violence,þiddet,-,-,-
violent,þiddetli,-,-,-
virtual,sanal,-,-,-
virus,virüs,-,-,-
"vision,""görü, vizyon"",-,-,-"
visit,ziyaret etmek,visit,visited,visited
visitor,ziyaretçi,-,-,-
visual,görsel,-,-,-
vital,hayati,-,-,-
vitamin,vitamin,-,-,-
voice,ses,-,-,-
"volume,""hacim, ses düzeyi"",-,-,-"
"volunteer,""gönüllü, gönüllü olmak"",volunteer,volunteered,volunteered"
"vote,""oy vermek, oy"",vote,voted,voted"
wage,ücret (maaþ),-,-,-
wait,beklemek,wait,waited,waited
waiter,garson,-,-,-
wake,uyanmak,wake,woke,woken
walk,yürümek,walk,walked,walked
wall,duvar,-,-,-
want,istemek,want,wanted,wanted
war,savaþ,-,-,-
"warm,""ýlýk, sýcak"",warm,warmed,warmed"
warn,uyarmak,warn,warned,warned
warning,uyarý,-,-,-
wash,yýkamak,wash,washed,washed
washing,çamaþýr,-,-,-
"waste,""israf, israf etmek"",waste,wasted,wasted"
"watch,""izlemek, saat"",watch,watched,watched"
"water,""su, sulamak"",water,watered,watered"
"wave,""dalga, sallamak (el)"",wave,waved,waved"
"way,""yol, tarz"",-,-,-"
we,biz,-,-,-
weak,zayýf,-,-,-
weakness,zayýflýk,-,-,-
wealth,zenginlik,-,-,-
wealthy,zengin,-,-,-
weapon,silah,-,-,-
wear,giymek,wear,wore,worn
weather,hava durumu,-,-,-
"web,""að, örümcek aðý"",-,-,-"
website,web sitesi,-,-,-
wedding,düðün,-,-,-
Wednesday,Çarþamba,-,-,-
week,hafta,-,-,-
weekend,hafta sonu,-,-,-
weigh,tartmak,weigh,weighed,weighed
weight,aðýrlýk,-,-,-
"welcome,""hoþ geldin, karþýlamak"",welcome,welcomed,welcomed"
well,iyi,-,-,-
west,batý,-,-,-
western,batý (sýfat),-,-,-
wet,ýslak,-,-,-
what,ne,-,-,-
whatever,her ne,-,-,-
wheel,tekerlek,-,-,-
when,ne zaman,-,-,-
whenever,her ne zaman,-,-,-
where,nerede,-,-,-
whereas,oysa ki,-,-,-
wherever,nerede olursa olsun,-,-,-
whether,olup olmadýðý,-,-,-
which,hangi,-,-,-
while,-iken,-,-,-
whisper,fýsýldamak,whisper,whispered,whispered
white,beyaz,-,-,-
who,kim,-,-,-
whole,bütün,-,-,-
whom,kimi,-,-,-
whose,kimin,-,-,-
why,neden,-,-,-
wide,geniþ,-,-,-
widely,geniþ çapta,-,-,-
wife,eþ (kadýn),-,-,-
wild,vahþi,-,-,-
wildlife,yaban hayatý,-,-,-
will,-ecek (gelecek),-,-,-
willing,istekli,-,-,-
win,kazanmak,win,won,won
wind1,rüzgar,-,-,-
"wind2,""kývrýlmak, sarmak"",wind,wound,wound"
window,pencere,-,-,-
wine,þarap,-,-,-
wing,kanat,-,-,-
winner,kazanan,-,-,-
winter,kýþ,-,-,-
"wire,""tel, kablo"",-,-,-"
wise,bilge,-,-,-
"wish,""dilemek, dilek"",wish,wished,wished"
with,ile,-,-,-
within,içinde,-,-,-
without,olmadan,-,-,-
"witness,""tanýk, tanýk olmak"",witness,witnessed,witnessed"
woman,kadýn,-,-,-
wonder,merak etmek,wonder,wondered,wondered
wonderful,harika,-,-,-
"wood,""odun, ahþap"",-,-,-"
wooden,ahþap (sýfat),-,-,-
wool,yün,-,-,-
word,kelime,-,-,-
"work,""çalýþmak, iþ"",work,worked,worked"
worker,iþçi,-,-,-
working,çalýþan,-,-,-
world,dünya,-,-,-
worldwide,dünya çapýnda,-,-,-
worried,endiþeli,-,-,-
worry,endiþelenmek,worry,worried,worried
worse,daha kötü,-,-,-
worst,en kötü,-,-,-
worth,deðerinde,-,-,-
would,-erdi,-,-,-
"wound,""yara, yaralamak"",wound,wounded,wounded"
wow,vay canýna,-,-,-
"wrap,""sarmak, paketlemek"",wrap,wrapped,wrapped"
write,yazmak,write,wrote,written
writer,yazar,-,-,-
"writing,""yazý, yazma"",-,-,-"
written,yazýlý,-,-,-
wrong,yanlýþ,-,-,-
"yard,""avlu, yarda"",-,-,-"
yeah,evet,-,-,-
year,yýl,-,-,-
yellow,sarý,-,-,-
yes,evet,-,-,-
yesterday,dün,-,-,-
yet,henüz,-,-,-
"you,""sen, siz"",-,-,-"
young,genç,-,-,-
"your,""senin, sizin"",-,-,-"
"yours,""seninki, sizinki"",-,-,-"
yourself,kendin,-,-,-
youth,gençlik,-,-,-
zero,sýfýr,-,-,-
zone,bölge,-,-,-
